i,IDA Return Value,t,y[0],y[1],y[2],y[3],y[4],y[5],y[6],y[7],y[8],y[9],y[10],y[11],y[12],y[13],y[14],y[15],y[16],y[17],y[18],y[19],y[20],y[21],y[22],y[23],y[24]
32,0,0.1333333333333333,0.5539845480460657,-1.560677762880379e-07,0.9954725186335326,0.971299466819416,0.3068806952309993,-1.810212486013567e-50,-0.2805766356397708,0.985803297907886,1.024954339020888,0,0.2805765918507985,0.9858031440557578,0.9999970676058079,0.4834573444939648,0.8767978705760179,0.9999969115384875,0.05011673079081071,0.9999995777022623,1.914050274100913,1.555550751282092,-5.477596196547626,0.9949883269209189,0.09999969115384873,1,0
33,0,0.1375,0.5539843047268795,-1.540554753755901e-07,0.9954725223616476,0.9712994862990854,0.3068805744517523,-1.800183294641497e-50,-0.2805765252130307,0.985803307936623,1.024954320334254,0,0.2805764819886797,0.985803156068226,0.9999965650411103,0.4834569302336322,0.8767975239151196,0.9999964109861623,0.05011665740252748,0.9999995777022623,1.914050274100913,1.555549972645141,-5.477596310707177,0.9949883342597472,0.09999964109861621,1,0
34,0,0.1416666666666667,0.5539840647145791,-1.51699760404701e-07,0.9954725264967541,0.9712995062855028,0.3068804535020996,-1.790209700595778e-50,-0.280576414630491,0.9858033184122539,1.024954301192361,0,0.2805763720671151,0.985803168866127,0.9999960754338818,0.4834565249917788,0.8767971875103048,0.9999959237347149,0.0501165850472669,0.9999995777022623,1.914050274100913,1.555549214698445,-5.477596423259805,0.9949883414952733,0.09999959237347146,1,0
35,0,0.1458333333333333,0.5539838286608114,-1.490089198994157e-07,0.9954725310374627,0.9712995267083689,0.3068803328348556,-1.780291351970026e-50,-0.2805763043061537,0.9858033293058255,1.024954281565355,0,0.2805762624977804,0.9858031824123364,0.9999955997669464,0.4834561298601766,0.876796861870526,0.9999954507586801,0.05011651371594492,0.9999995777022623,1.914050274100913,1.555548478957946,-5.477596534219638,0.9949883486284056,0.09999954507586797,1,0
36,0,0.15,0.5539835972172241,-1.459912423837795e-07,0.9954725359823833,0.9712995474973842,0.3068802129028345,-1.770427896857851e-50,-0.2805761946540201,0.9858033405883839,1.024954261423383,0,0.2805761536923517,0.9858031966697298,0.9999951390231284,0.4834557459305973,0.8767965475047357,0.9999949930325933,0.05011644339947748,0.9999995777022623,1.914050274100913,1.555547766939589,-5.477596643600812,0.9949883556600522,0.09999949930325928,1,0
37,0,0.1541666666666667,0.5539833710354644,-1.426550163818376e-07,0.9954725413301266,0.9712995685822491,0.3068800941588506,-1.760618983352868e-50,-0.280576086088092,0.9858033522309759,1.024954240736591,0,0.2805760460625049,0.9858032116011828,0.9999946941852522,0.4834553742948127,0.8767962449218861,0.9999945515309895,0.0501163740887805,0.9999995777022623,1.914050274100913,1.555547080159317,-5.477596751417452,0.9949883625911219,0.09999945515309891,1,0
38,0,0.1583333333333333,0.5539831507671796,-1.390085304176354e-07,0.9954725470793028,0.9712995898926644,0.3068799770557183,-1.750864259548688e-50,-0.280575979022371,0.9858033642046475,1.024954219475126,0,0.2805759400199158,0.9858032271695708,0.9999942662361422,0.4834550160445945,0.8767959546309299,0.9999941272284039,0.05011630577476995,0.9999995777022623,1.914050274100913,1.555546420133072,-5.477596857683691,0.9949883694225229,0.09999941272284035,1,0
39,0,0.1625,0.553982935183548,-1.351049952445565e-07,0.9954725531607542,0.9712996115253619,0.3068798603868655,-1.741163928613589e-50,-0.2805758723537057,0.9858033765065974,1.024954202221482,0,0.2805758344465032,0.9858032433196372,0.9999938541939148,0.4834546686734518,0.876795676892979,0.9999937190897462,0.05011623949719608,0.9999995777022623,1.914050274100913,1.555545785250716,-5.477596960782138,0.9949883760502803,0.09999937190897457,1,0
40,0,0.1666666666666667,0.5539827257766111,-1.309326233543592e-07,0.9954725596033773,0.9712996333353948,0.306879745346697,-1.731517390574756e-50,-0.2805757671741229,0.9858033890961846,1.024954186884519,0,0.2805757304376015,0.9858032600223608,0.9999934599194348,0.4834543348812427,0.8767954123277469,0.999993328987666,0.05011617477824401,0.9999995777022623,1.914050274100913,1.555545178425258,-5.477597061456065,0.9949883825221755,0.09999933289876657,1,0
41,0,0.1708333333333333,0.5539825232274868,-1.264989992422706e-07,0.9954725664068443,0.9712996552498461,0.3068796324140331,-1.721924284826579e-50,-0.2805756639214017,0.9858034019440453,1.024954173362097,0,0.280575628428861,0.9858032772409017,0.999993084426318,0.4834540158161321,0.8767951614480708,0.9999929579281936,0.0501161115923922,0.9999995777022623,1.914050274100913,1.555544601221634,-5.477597159745167,0.9949883888407606,0.09999929579281933,1,0
42,0,0.175,0.5539823280623001,-1.218154100124526e-07,0.9954725735652421,0.9712996772095653,0.3068795219309235,-1.712384296514167e-50,-0.2805755629082728,0.9858034150229718,1.024954161932239,0,0.2805755287298456,0.9858032949369248,0.9999927285662431,0.4834537123297056,0.8767949247463592,0.9999926067517211,0.05011605000056679,0.9999995777022623,1.914050274100913,1.555544054947121,-5.477597255554673,0.9949883949999432,0.09999926067517205,1,0
43,0,0.1791666666666667,0.5539821408071766,-1.168931427690667e-07,0.9954725810726575,0.9712996991554028,0.3068794142394175,-1.70289711078263e-50,-0.2805754644474674,0.9858034283057558,1.024954152872968,0,0.2805754316501194,0.9858033130720952,0.9999923931908896,0.4834534252735495,0.8767947027150215,0.9999922762986395,0.05011599006369389,0.9999995777022623,1.914050274100913,1.555543540908994,-5.477597348789807,0.9949884009936305,0.09999922762986391,1,0
44,0,0.1833333333333333,0.5539819619882411,-1.117434846162746e-07,0.995472588923177,0.9712997210282085,0.3068793096815647,-1.693462412777078e-50,-0.2805753688517162,0.98580344176519,1.024954146462307,0,0.2805753374992462,0.9858033316080786,0.9999920791519367,0.4834531554992498,0.8767944958464662,0.9999919674093409,0.05011593184269961,0.9999995777022623,1.914050274100913,1.555543060414529,-5.477597439355797,0.99498840681573,0.09999919674093403,1,0
